Date,Account,Type,Symbol,Description,Status,Quantity,Price,Amount
11/12/2024,INSTITUTION ACCT 1,Buy,BIL,SPDR SER TR BLOOMBERG 1-3 MO ETF,Filled,4.815,$91.59 ,$441.00 
11/12/2024,INSTITUTION ACCT 2,Buy,BIL,SPDR SER TR BLOOMBERG 1-3 MO ETF,Filled,9.529,$91.59 ,$872.71 
11/12/2024,INSTITUTION ACCT 3,Buy,BIL,SPDR SER TR BLOOMBERG 1-3 MO ETF,Filled,13.857,$91.59 ,"$1,269.09 "
11/14/2024,INSTITUTION ACCT 1,Interest,,".40100%30 DAYS,         $147",Filled,0.06,,$0.06 
11/14/2024,INSTITUTION ACCT 2,Interest,,".40100%30 DAYS,         $290",Filled,0.13,,$0.13 
11/14/2024,INSTITUTION ACCT 3,Interest,,".40100%30 DAYS,         $423",Filled,0.19,,$0.19
11/20/2024,INSTITUTION ACCT 1,Deposit,,"ACH In Xxxx0999"              ,Complete,,,"$2,000.00 "
12/5/2024,INSTITUTION ACCT 1,Dividend,BIL,SPDR SER TR              4.815,Filled,1.61,,$1.61 
12/5/2024,INSTITUTION ACCT 2,Dividend,BIL,SPDR SER TR              9.529,Filled,3.19,,$3.19 
12/5/2024,INSTITUTION ACCT 3,Dividend,BIL,SPDR SER TR             13.857,Filled,4.64,,$4.64 
